Area,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
11.2,3000.0,0,4000.0,1.68,11,150
6.6,1825.0,0,4000.0,0.99,11,150
11.2,3000.0,0,4000.0,1.68,11,150
6.6,1825.0,0,4000.0,0.99,11,150
11.2,3000.0,0,4000.0,1.68,11,150
6.6,1825.0,0,4000.0,0.99,11,150
13.16,3000.0,0,4700.0,1.974,11,150
7.755,1825.0,0,4700.0,1.16325,11,150
11.704,3000.0,0,4180.0,1.7556,11,150
6.897,1825.0,0,4180.0,1.03455,11,150
3.416656047,1700.04027,1,3900.0,0.512498408,11,150
10.92,3000.0,0,3900.0,1.6380000000000001,11,150
6.435,1972.5,0,3900.0,0.96525,11,150
11.2,3000.0,0,4000.0,1.68,11,150
6.6,1825.0,0,4000.0,0.99,11,150
17.92,3000.0,0,6400.0,2.688,11,150
13.4652,2317.5,0,5880.0,2.01978,11,150
32.4225,10050.0,0,3300.0,4.863375,11,150
23.945999999999998,9835.0,0,2900.0,3.5919,11,150
11.2,3000.0,0,4000.0,1.68,11,150
6.6,1825.0,0,4000.0,0.99,11,150
10.56,1825.0,0,6400.0,1.584,11,150
21.5525,6025.0,0,3700.0,3.232875,11,150
4.063134206,1410.852673,0,2640.0,0.606348535,11,150
19.395,6917.5,1,3300.0,3.8789999999999996,11,200
21.516,6917.5,1,3300.0,4.3032,11,200
22.8896,6220.0,0,3680.0,4.57792,11,200
8.318999999999999,3000.0,0,3480.0,1.6638,11,200
22.1536,6220.0,0,3680.0,4.43072,11,200
11.76576,3800.0,0,4000.0,2.353152,11,200
33.6486,9820.0,0,3680.0,6.7297199999999995,11,200
7.259519999999999,3800.0,0,3480.0,1.451904,11,200
16.4312,4565.0,0,3680.0,3.2862400000000003,11,200
19.3384,5155.0,0,3680.0,3.8676800000000005,11,200
22.8896,6220.0,0,3680.0,4.57792,11,200
8.318999999999999,3000.0,0,3480.0,1.6638,11,200
22.1536,6220.0,0,3680.0,4.43072,11,200
42.231,6720.0,0,6600.0,8.4462,11,200
15.96,3147.5,0,5700.0,3.1919999999999997,11,200
20.7144,3580.0,0,5480.0,4.14288,11,200
59.9742,11990.0,0,5680.0,11.99484,11,200
18.852,6917.5,1,3300.0,3.7704,11,200
29.6006,8820.0,0,3680.0,5.92012,11,200
11.76576,3800.0,0,4000.0,2.353152,11,200
33.6486,9820.0,0,3680.0,6.7297199999999995,11,200
7.95552,3800.0,0,3480.0,1.591104,11,200
24.7296,6720.0,0,3680.0,4.94592,11,200
11.76576,3800.0,0,4000.0,2.353152,11,200
33.6486,9820.0,0,3680.0,6.7297199999999995,11,200
7.259519999999999,3800.0,0,3480.0,1.451904,11,200
16.4312,4565.0,0,3680.0,3.2862400000000003,11,200
19.3384,5155.0,0,3680.0,3.8676800000000005,11,200
14.28576,3800.0,0,4700.0,2.857152,11,200
40.4526,9820.0,0,4380.0,8.09052,11,200
9.77952,3800.0,0,4180.0,1.955904,11,200
19.5567,4565.0,0,4380.0,3.91134,11,200
23.0169,5155.0,0,4380.0,4.6033800000000005,11,200
12.41376,3800.0,0,4180.0,2.482752,11,200
39.5766,9620.0,0,4380.0,7.9153199999999995,11,200
19.5567,4565.0,0,4380.0,3.91134,11,200
21.59805,5155.0,0,4110.0,4.31961,11,200
8.791519999,4047.5,1,3700.0,1.758304,11,200
12.333,4530.0,1,3300.0,2.4666,11,200
16.962,5240.0,1,3300.0,3.3924,11,200
8.318999999999999,3000.0,0,3480.0,1.6638,11,200
23.9936,6720.0,0,3680.0,4.798719999999999,11,200
12.4936,3320.0,0,3880.0,2.49872,11,200
30.3546,8170.0,0,3880.0,6.07092,11,200
23.3576,6220.0,0,3880.0,4.67152,11,200
24.7296,6720.0,0,3680.0,4.94592,11,200
8.318999999999999,3000.0,0,3480.0,1.6638,11,200
23.9936,6720.0,0,3680.0,4.798719999999999,11,200
38.1696,6720.0,0,5680.0,7.63392,11,200
16.44,3000.0,0,5480.0,3.2880000000000003,11,200
37.0336,6720.0,0,5680.0,7.40672,11,200
11.76576,3800.0,0,4000.0,2.353152,11,200
33.6486,9820.0,0,3680.0,6.7297199999999995,11,200
7.259519999999999,3800.0,0,3480.0,1.451904,11,200
15.5382,4565.0,0,3480.0,3.10764,11,200
18.2874,5255.0,0,3480.0,3.6574800000000005,11,200
23.38558122,6719.994418000001,0,3480.0,4.677116115,11,200
26.18400065,6720.0,0,4000.0,5.2368,11,200
22.8896,6220.0,0,3680.0,4.57792,11,200
22.1536,6220.0,0,3680.0,4.43072,11,200
22.8896,6220.0,0,3680.0,4.57792,11,200
22.1536,6220.0,0,3680.0,4.43072,11,200
18.5416,6220.0,1,3080.0,3.7083199999999996,11,200
15.864,3000.0,0,5480.0,3.1728,11,200
20.153,6270.0,1,3700.0,4.0306,11,200
11.729000000000001,3317.5,1,3700.0,2.3458,11,200
9.512004117,3000.0,0,3170.668039,1.902400823,11,200
17.01,3680.0,0,4500.0,3.4019999999999997,11,200
8.465160000000001,3170.0,0,4500.0,1.6930319999999999,11,200
19.3154,7720.0,0,2470.0,3.86308,11,200
24.1336,6220.0,0,3880.0,4.82672,11,200
8.919,3000.0,0,3680.0,1.7838,11,200
22.1536,6220.0,0,3680.0,4.43072,11,200
12.505999999999998,3580.0,1,3700.0,2.5012,11,200
8.731160000000001,3317.5,0,4300.0,1.746232,11,200
23.04,3800.0,0,6400.0,4.6080000000000005,11,200
56.8,10100.0,0,5680.0,11.36,11,200
44.07128852,6777.467956999999,0,6600.0,8.814257702999999,11,200
60.56399999999999,10300.0,0,5880.0,12.1128,11,200
37.760999999999996,5975.0,0,6140.0,7.5522,11,200
59.62569479,11847.82466,0,5480.0,11.91361953,11,200
60.8433796,11192.8469,0,5480.0,12.157156500000001,11,200
145.698348,27494.59815,0,5460.0,29.13966959,11,200
1.649684256,491.0776774,0,5480.0,0.318417427,11,200
217.48005,39632.5,0,5700.0,43.33161,11,200
13.3488,4287.5,1,2880.0,2.6697599999999997,11,200
22.003,6917.5,1,3700.0,4.4006,11,200
7.622999999999999,3000.0,0,3480.0,1.5246,11,200
15.40071678,8401.54027,1,2900.0,3.080143357,11,200
2.576,500.0,0,3680.0,0.5152,11,200
22.168000000000003,6670.0,1,3400.0,4.4336,11,200
18.701,7155.0,0,2900.0,3.7402,11,200
23.82916711,7470.95973,1,3300.0,4.765833422,11,200
20.2855,7195.0,0,2900.0,4.0571,11,200
26.39357529,5122.6257049999995,0,4400.0,5.106005293,11,200
16.02043709,3665.0163060000004,0,4400.0,3.0313776939999997,11,200
28.723000000000003,8870.0,1,3700.0,5.7446,11,200
13.1544,3580.0,0,3480.0,2.63088,11,200
3.9089199999999997,2210.0,0,3680.0,0.781784,11,200
12.4584,3580.0,0,3480.0,2.49168,11,200
10.9296,3170.0,0,3680.0,2.18592,11,200
2.5276400000000003,960.0,0,3480.0,0.505528,11,200
12.4584,3580.0,0,3480.0,2.49168,11,200
6.13176,3170.0,0,3480.0,1.226352,11,200
11.7624,3580.0,0,3480.0,2.35248,11,200
12.4016,3270.0,0,3680.0,2.48032,11,200
13.1544,3580.0,0,3480.0,2.63088,11,200
3.9089199999999997,2210.0,0,3680.0,0.781784,11,200
12.4584,3580.0,0,3480.0,2.49168,11,200
10.9296,3170.0,0,3680.0,2.18592,11,200
2.5276400000000003,960.0,0,3480.0,0.505528,11,200
14.529000000000002,4700.0,1,3700.0,2.9058,11,200
18.5224,3580.0,0,5480.0,3.70448,11,200
9.06672,3170.0,0,6000.0,1.8133439999999998,11,200
13.1744,3580.0,0,3680.0,2.63488,11,200
3.9089199999999997,2210.0,0,3680.0,0.781784,11,200
11.7624,3580.0,0,3480.0,2.35248,11,200
12.4016,3170.0,0,3680.0,2.48032,11,200
2.5276400000000003,960.0,0,3480.0,0.505528,11,200
17.542,3580.0,0,4900.0,3.5084,11,200
4.33092,2210.0,0,3880.0,0.8661840000000001,11,200
15.886,3580.0,0,4700.0,3.1772,11,200
13.0756,3170.0,0,3880.0,2.61512,11,200
2.73964,960.0,0,3680.0,0.547928,11,200
7.58,4287.5,1,2600.0,1.516,11,200
15.652000000000001,6220.0,1,2600.0,3.1304,11,200
37.281,12187.5,0,3700.0,7.4562,11,200
39.51429208,12438.92429,0,3300.0,7.931929736,11,200
4.221,2340.0,1,3300.0,0.8442,11,200
20.6816,5820.0,0,3680.0,4.1363199999999996,11,200
16.4256,4720.0,0,3480.0,3.2851199999999996,11,200
11.136,3000.0,0,3480.0,2.2272,11,200
16.6336,4720.0,0,3680.0,3.32672,11,200
18.3136,4720.0,0,3880.0,3.6627199999999998,11,200
11.64,3000.0,0,3880.0,2.3280000000000003,11,200
35.344,7720.0,0,4700.0,7.0688,11,200
9.519,3040.0,0,3880.0,1.9038,11,200
13.365,3170.0,0,4500.0,2.673,11,200
6.897004117000001,3000.0,0,3170.668039,1.379400823,11,200
11.76576,3800.0,0,4000.0,2.353152,11,200
34.3846,10130.0,0,3680.0,6.87692,11,200
7.259519999999999,3800.0,0,3480.0,1.451904,11,200
16.4312,4565.0,0,3680.0,3.2862400000000003,11,200
19.3384,5155.0,0,3680.0,3.8676800000000005,11,200
16.98592,3800.0,0,5880.0,3.3971839999999998,11,200
58.68689871,10720.12978,0,5460.0,11.69272515,11,200
8.602939813999999,1709.060489,0,5000.0,1.7083095069999998,11,200
11.16,3700.0,0,3100.0,2.2319999999999998,11,200
4.325,1185.0,0,3460.0,0.865,11,200
6.96696,2002.0,0,3480.0,1.393392,11,200
8.368360000000001,2002.0,0,4180.0,1.673672,11,200
72.06355854,24280.0,0,5000.0,14.41271171,11,200
44.64980226,9029.960451,0,5000.0,8.929960451,11,200
124.05388870000002,29216.47755,0,5679.053226,24.80825806,11,200
171.3818805,54140.0,0,5400.0,34.2763761,11,200
11.56251148,2942.532043,0,6600.0,2.312502297,11,200
184.2834798,60282.67555,0,4935.0,36.81880858,11,200
94.49455919,34741.51071,0,4540.0,18.68585195,11,200
104.7337833,33655.0,0,5000.0,20.93624623,11,200
218.7186395,71851.7899,0,4920.0,43.73338564,11,200
38.01249175,12195.15904,0,4920.0,7.4093774770000005,11,200
107.3581111,60592.67555,0,3130.0,21.44759233,11,200
