Area,Base Constraint,Length,Structural Usage,Unconnected Height,Volume,Assembly Code,Width
23.82916711,Kælder,7470.95973,1,3300,4.765833422,11,200
20.2855,Kælder,7195,0,2900,4.0571,11,200
26.39357529,Stuen,5122.625705,0,4400,5.106005293,11,200
16.02043709,Stuen,3665.016306,0,4400,3.031377694,11,200
28.723,Kælder,8870,1,3700,5.7446,11,200
13.1544,3. sal,3580,0,3480,2.63088,11,200
3.90892,3. sal,2210,0,3680,0.781784,11,200
12.4584,3. sal,3580,0,3480,2.49168,11,200
10.9296,3. sal,3170,0,3680,2.18592,11,200
2.52764,3. sal,960,0,3480,0.505528,11,200
12.4584,1. sal,3580,0,3480,2.49168,11,200
6.13176,1. sal,3170,0,3480,1.226352,11,200
11.7624,1. sal,3580,0,3480,2.35248,11,200
12.4016,1. sal,3270,0,3680,2.48032,11,200
13.1544,2. sal,3580,0,3480,2.63088,11,200
3.90892,2. sal,2210,0,3680,0.781784,11,200
12.4584,2. sal,3580,0,3480,2.49168,11,200
10.9296,2. sal,3170,0,3680,2.18592,11,200
2.52764,2. sal,960,0,3480,0.505528,11,200
14.529,Kælder,4700,1,3700,2.9058,11,200
18.5224,Stuen,3580,0,5480,3.70448,11,200
9.06672,Stuen,3170,0,6000,1.813344,11,200
13.1744,4. sal,3580,0,3680,2.63488,11,200
3.90892,4. sal,2210,0,3680,0.781784,11,200
11.7624,4. sal,3580,0,3480,2.35248,11,200
12.4016,4. sal,3170,0,3680,2.48032,11,200
2.52764,4. sal,960,0,3480,0.505528,11,200
17.542,5. sal,3580,0,4900,3.5084,11,200
4.33092,5. sal,2210,0,3880,0.866184,11,200
15.886,5. sal,3580,0,4700,3.1772,11,200
13.0756,5. sal,3170,0,3880,2.61512,11,200
2.73964,5. sal,960,0,3680,0.547928,11,200
7.58,Mezzanin,4287.5,1,2600,1.516,11,200
15.652,Mezzanin,6220,1,2600,3.1304,11,200
37.281,Kælder,12187.5,0,3700,7.4562,11,200
39.51429208,Kælder,12438.92429,0,3300,7.931929736,11,200
4.221,Kælder,2340,1,3300,0.8442,11,200
20.6816,4. sal,5820,0,3680,4.13632,11,200
16.4256,4. sal,4720,0,3480,3.28512,11,200
11.136,4. sal,3000,0,3480,2.2272,11,200
16.6336,4. sal,4720,0,3680,3.32672,11,200
18.3136,5. sal,4720,0,3880,3.66272,11,200
11.64,5. sal,3000,0,3880,2.328,11,200
35.344,5. sal,7720,0,4700,7.0688,11,200
9.519,5. sal,3040,0,3880,1.9038,11,200
13.365,6. sal,3170,0,4500,2.673,11,200
6.897004117,6. sal,3000,0,3170.668039,1.379400823,11,200
11.76576,6. sal,3800,0,4000,2.353152,11,200
34.3846,6. sal,10130,0,3680,6.87692,11,200
7.25952,6. sal,3800,0,3480,1.451904,11,200
16.4312,6. sal,4565,0,3680,3.28624,11,200
19.3384,6. sal,5155,0,3680,3.86768,11,200
16.98592,Stuen,3800,0,5880,3.397184,11,200
58.68689871,Stuen,10720.12978,0,5460,11.69272515,11,200
8.602939814,Stuen,1709.060489,0,5000,1.708309507,11,200
11.16,Stuen,3700,0,3100,2.232,11,200
4.325,6. sal,1185,0,3460,0.865,11,200
6.96696,6. sal,2002,0,3480,1.393392,11,200
8.36836,7. sal,2002,0,4180,1.673672,11,200
72.06355854,Stuen,24280,0,5000,14.41271171,11,200
44.64980226,Stuen,9029.960451,0,5000,8.929960451,11,200
124.0538887,Stuen,29216.47755,0,5679.053226,24.80825806,11,200
171.3818805,Stuen,54140,0,5400,34.2763761,11,200
11.56251148,Stuen,2942.532043,0,6600,2.312502297,11,200
184.2834798,1. sal,60282.67555,0,4935,36.81880858,11,200
94.49455919,1. sal,34741.51071,0,4540,18.68585195,11,200
104.7337833,1. sal,33655,0,5000,20.93624623,11,200
218.7186395,1. sal,71851.7899,0,4920,43.73338564,11,200
38.01249175,1. sal,12195.15904,0,4920,7.409377477,11,200
107.3581111,2. sal,60592.67555,0,3130,21.44759233,11,200
70.81530497,2. sal,35200,0,4000,14.15578778,11,200
32.04669109,2. sal,12195.15904,0,4000,6.252329377,11,200
67.7549544,2. sal,34741.51071,0,3938,13.39565427,11,200
128.52208,2. sal,71851.7899,0,3155,25.704416,11,200
42.9709,3. sal,17800,0,4000,8.59418,11,200
85.58019389,3. sal,42139.03507,0,4000,17.08532966,11,200
37.10825009,3. sal,18464.34846,0,4000,7.41324168,11,200
43.1809,3. sal,18400,0,4000,8.63618,11,200
6.24695,3. sal,3000,0,4000,1.24939,11,200
72.1515,3. sal,29800,0,4000,14.4303,11,200
80.35657925,3. sal,39087.81718,0,4062,16.06277718,11,200
2.8,3. sal,500,0,4000,0.56,11,200
27.8434,3. sal,11800,0,4000,5.56868,11,200
68.35174387,3. sal,34586.60487,0,4000,13.66029586,11,200
1.5941578,3. sal,359.8195288,0,4000,0.278069524,11,200
27.35476,4. sal,17800,0,3460,5.470952,11,200
168.7546499,4. sal,42139.03507,0,4000,33.72022086,11,200
28.39891386,4. sal,18464.34846,0,4000,5.671374433,11,200
27.35476,4. sal,18400,0,3460,5.470952,11,200
4.49108,4. sal,3000,0,3460,0.898216,11,200
59.0115,4. sal,29800,0,4000,11.8023,11,200
61.28605709,4. sal,39087.81718,0,4000,12.24880308,11,200
2.8,4. sal,500,0,4000,0.56,11,200
22.5874,4. sal,11800,0,4000,4.51748,11,200
138.4171566,4. sal,34586.60487,0,4000,27.6733784,11,200
1.5941578,4. sal,359.8195288,0,4000,0.278069524,11,200
29.106459,5. sal,15280,0,4700,5.8212918,11,200
75.92126907,5. sal,41659.03507,0,4700,15.1481706,11,200
5.6683,5. sal,2500,0,4700,1.13366,11,200
40.99564872,5. sal,33864.34846,0,3780,8.191183864,11,200
52.9802986,5. sal,29800,0,4700,10.59605972,11,200
49.3697362,5. sal,39087.81718,0,3780,9.866001359,11,200
1.0255,5. sal,500,0,4700,0.2051,11,200
19.8766,5. sal,11800,0,4700,3.975319999,11,200
48.56895396,5. sal,34586.60487,0,3780,9.704290789,11,200
1.929513088,5. sal,359.8195288,0,4700,0.347382494,11,200
18.734897,6. sal,11800,0,4000,3.7469794,11,200
45.8715,6. sal,29800,0,4000,9.1743,11,200
23.3874,6. sal,11800,0,4000,4.67748,11,200
44.97774,6. sal,29800,0,4000,8.995548,11,200
17.0452,7. sal,11800,0,4300,3.40904,11,200
42.0626,7. sal,29800,0,4300,8.41252,11,200
28.5692,7. sal,11800,0,4300,5.71384,11,200
41.2026,7. sal,29800,0,4300,8.24052,11,200
10.61552,7. sal,3900,0,4180,2.123104,11,200
2.644880334,3. sal,760.0230844,0,3480,0.528976067,11,200
2.6296,4. sal,760,0,3460,0.52592,11,200
1.68,6. sal,560,0,3000,0.336,11,200
20.526,Kælder,6270,0,3300,4.1052,11,200
8.11756,7. sal,2042,0,4180,1.623512,11,200
6.92,6. sal,2000,0,3460,1.384,11,200
2.8006,7. sal,670,0,4180,0.56012,11,200
9.744,2. sal,3000,0,3480,1.9488,11,200
20.0596,5. sal,5070,0,3880,4.01192,11,200
10.864,5. sal,3000,0,3880,2.1728,11,200
