,FireRating,Area,Structural,Unconnected_Height,Volume,Width
833,3,0.16054144343211063,0.0,0.44472361809045224,0.2492086391947855,0.3592964824120603
374,3,0.7715620075162957,0.0,0.8115577889447236,0.7742489281906019,0.5778894472361809
3523,3,0.18845042322308528,0.0,0.542713567839196,0.2863473178834152,0.5778894472361809
1488,3,0.7157205539586163,0.0,0.8115577889447236,0.7153380035733387,0.5778894472361809
712,3,0.6932709955328566,0.0,0.9623115577889447,0.6990438771395527,0.5778894472361809
400,3,0.8525287376304302,0.0,0.8115577889447236,0.8339119510698507,0.5778894472361809
2107,0,0.1294550272716974,0.0,0.15106020118742527,0.10735939188252873,0.12060301507537688
3164,2,0.12639334078009232,0.0,0.14807687769164132,0.1737455243826163,0.2512562814070352
2364,5,0.03015075376884422,0.0,0.35175879396984927,0.07543922808881202,0.28391959798994976
1061,5,0.4632318327500925,0.0,0.31658291457286436,0.14866762219069177,0.06532663316582915
3160,2,0.015132371458972805,0.0,0.44472361809045224,0.05383519503490671,0.2512562814070352
3803,5,0.050280976896929605,0.0,0.007537688442211055,0.08058105401843044,0.2085427135678392
600,3,0.4580202883160374,0.0,0.44472361809045224,0.5071269706096624,0.5778894472361809
1773,0,0.5605047586393386,0.0,0.18390459761494038,0.3627527906079809,0.12060301507537688
720,3,0.7939800859048237,0.0,0.9623115577889447,0.7904323523552178,0.5778894472361809
3092,3,0.17459485788133836,0.0,0.21916707355532206,0.2770077056231499,0.5778894472361809
3308,4,0.023476409273472325,0.0,0.10546915451981927,0.11224278121082994,0.8165829145728642
2481,5,0.759968189768236,0.0,0.0975647922337894,0.8022242449371025,0.825262677021471
396,3,0.5961959419914588,0.0,0.8115577889447236,0.6110368074505935,0.5778894472361809
2679,3,0.7695407123173846,0.0,0.9623115577889447,0.7728412050441386,0.5778894472361809
3187,0,0.20648315179986396,0.0,0.10625808261658477,0.1376136621615507,0.12060301507537688
1427,0,0.385837629886128,0.0,0.3869346733668342,0.30487797347059503,0.18592964824120603
3433,2,0.1452641617535147,0.0,0.542713567839196,0.18635937466365202,0.2512562814070352
42,3,0.919375376170936,0.0,0.8115577889447236,0.8826917605099559,0.5778894472361809
3377,0,0.5553662504290251,0.0,0.20603015075376885,0.35853687649447863,0.12060301507537688
2252,5,0.6709877818730664,1.0,0.6130653266331658,0.8881847975134228,0.9447236180904522
3554,5,0.11372436483642756,0.0,0.05778894472361809,0.026222586639046933,0.0
2104,3,0.691965718984986,0.0,0.542713567839196,0.6974273404898439,0.5778894472361809
33,3,0.774941915309739,0.0,0.542713567839196,0.7737833291230619,0.5778894472361809
299,5,0.843164084027675,1.0,0.8115577889447236,0.884209809702235,0.8542713567839196
1385,0,0.39698492232446647,0.0,0.3869346733668342,0.31258940472905067,0.18592964824120603
2291,3,0.5705606268164197,0.0,0.635678391959799,0.593943557451602,0.5778894472361809
3655,3,0.08907531985941826,0.0,0.31658291457286436,0.2010099044181714,0.5778894472361809
2240,5,0.8494271421755477,1.0,0.635678391959799,0.9099643590975779,0.9020100502512562
516,3,0.8743718592964824,0.0,0.635678391959799,0.9088515246522705,0.8844221105527639
3102,3,0.8277231992707599,0.0,0.5991739794158365,0.8167930162940644,0.5778894472361809
110,5,0.7587409893676851,1.0,0.8115577889447236,0.8281949791759752,0.8542713567839196
3378,5,0.41872964888015307,0.0,0.13271187616454763,0.2744552053619311,0.15577889447236182
2818,3,0.69608125646258,0.0,0.9623115577889447,0.7031971285928679,0.5778894472361809
115,5,0.9662570170079637,1.0,0.6783919597989949,0.9749454013358501,1.0
3651,5,0.36949816765084925,0.0,0.4064070351758794,0.22458176426620188,0.12060301507537688
3480,5,0.24349910843997866,0.0,0.12760773564793665,0.06550236430546291,0.0
2500,3,0.5821912346936895,0.0,0.2361809045226131,0.5995555817714481,0.5778894472361809
1723,3,0.8351260313157561,0.0,0.542713567839196,0.8217177794489138,0.5778894472361809
1992,5,0.3040648637218783,0.0,0.31658291457286436,0.08604875482951904,0.06532663316582915
3348,3,0.021261253478569612,0.0,0.39861186827861167,0.07123450148229442,0.2911138087440951
3146,3,0.05930227278383334,0.0,0.032663316582914576,0.17029512563448398,0.5778894472361809
2227,5,0.9035363868823457,1.0,0.8115577889447236,0.9174189503439915,0.9020100502512562
2133,3,0.5012367413827086,0.0,0.9623115577889447,0.5406038641653921,0.5778894472361809
521,3,0.7808330882364147,0.0,0.635678391959799,0.8756971632282998,0.8844221105527639
3428,3,0.821491071928187,0.0,0.8115577889447236,0.8134679912955155,0.5778894472361809
2151,5,0.14962771845953532,1.0,0.8115577889447236,0.41122286741294956,0.9221105527638191
793,3,0.5370080019367686,0.0,0.635678391959799,0.553095057810426,0.3592964824120603
3481,5,0.29588954383131666,0.0,0.12760773564793665,0.07736957484107061,0.0
520,3,0.16495193810025124,0.0,0.44472361809045224,0.2533912799519519,0.3592964824120603
627,5,0.5379261464657924,1.0,0.609936474826965,0.5814737181175349,0.7914572864321608
3745,5,0.2557691578529195,0.0,0.0814070351758794,0.30266833956365785,0.31658291457286436
1506,3,0.8628288830968804,0.0,0.8115577889447236,0.8241558982138818,0.3592964824120603
2767,3,0.3422211443245339,0.0,0.44472361809045224,0.4014104496915559,0.3592964824120603
690,3,0.6351057256526149,0.0,0.602726068417115,0.542344199675084,0.2512562814070352
2733,0,0.30339446814029514,0.0,0.8115577889447236,0.18766550315056935,0.12060301507537688
2261,3,0.6522253915032798,0.0,0.542713567839196,0.6629752002463193,0.5778894472361809
1482,3,0.8393967092289286,0.0,0.8115577889447236,0.824830028920351,0.5778894472361809
368,5,0.9760179120575775,1.0,0.46733668341708545,0.9790415584204256,1.0
590,3,0.44898005134628366,0.0,0.44472361809045224,0.4782260139617051,0.3592964824120603
1005,5,0.5900124762703295,1.0,0.0879396984924623,0.44139585667076825,0.18592964824120603
2300,3,0.4674785277849849,0.0,0.542713567839196,0.45136938112031594,0.3592964824120603
855,5,0.8804818755583572,1.0,0.635678391959799,0.913683649609491,0.9020100502512562
3621,5,0.22621936384331018,0.0,0.05778894472361809,0.062063271701614194,0.0
2616,3,0.8076160159958287,0.0,0.8115577889447236,0.8034554032692708,0.5778894472361809
740,3,0.7340231109010984,0.0,0.6783919597989949,0.741919699367708,0.5778894472361809
3356,5,0.3023303774640467,0.0,0.0440845001707567,0.45061572316228155,0.8542713567839196
3144,5,0.6320505925419421,0.0,0.4787011982991883,0.2214060726518695,0.06532663316582915
2722,3,0.1888035054025731,0.0,0.6783919597989949,0.1780039940815347,0.5778894472361809
