Area,Structural,Type,Unconnected_Height,Volume,Assembly_Code,Width,AcousticRating,FireRating
7.316771,0,222.002_Gipsskillevæg_145 mm,4533,1.060931795,224,145,44 dB,"EI 60 A2-s1,d0"
21.60511037,0,222.002_Gipsskillevæg_145 mm,4533,3.132741004,224,145,44 dB,"EI 60 A2-s1,d0"
4.633069,0,222.002_Gipsskillevæg_145 mm,4533,0.671795005,224,145,44 dB,"EI 60 A2-s1,d0"
13.9106275,0,222.110_Forsatsvæg_135 mm,3983,1.843158144,224,132.5,36 dB,"EI 60 A2-s1,d0"
43.75248,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,3983,24.87748285,211,540,,
34.98588,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4383,18.21664725,211,540,,
21.5082,1,KON_Væg Indervæg_Beton_200 mm,4533,4.30164,221,200,,
21.5082,0,222.001_Gipsskillevæg_145 mm,4533,3.118689,224,145,48 dB,"EI 60 A2-s1,d0"
21.5082,0,222.001_Gipsskillevæg_145 mm,4533,3.118689,224,145,48 dB,"EI 60 A2-s1,d0"
8.85001,0,222.001_Gipsskillevæg_145 mm,3583,1.28325145,224,145,48 dB,"EI 60 A2-s1,d0"
10.086145,0,222.001_Gipsskillevæg_145 mm,4533,1.462491025,224,145,48 dB,"EI 60 A2-s1,d0"
10.086145,0,222.001_Gipsskillevæg_145 mm,4533,1.462491025,224,145,48 dB,"EI 60 A2-s1,d0"
8.282679966,0,222.001_Gipsskillevæg_145 mm,4533,1.078449995,224,145,48 dB,"EI 60 A2-s1,d0"
2.828935,0,222.002_Gipsskillevæg_145 mm,3583,0.410195575,224,145,44 dB,"EI 60 A2-s1,d0"
15.33524,0,222.002_Gipsskillevæg_145 mm,3583,2.2236098,224,145,44 dB,"EI 60 A2-s1,d0"
15.639795,0,222.002_Gipsskillevæg_145 mm,3583,2.267770275,224,145,44 dB,"EI 60 A2-s1,d0"
11.51324,0,222.002_Gipsskillevæg_145 mm,3583,1.6694198,224,145,44 dB,"EI 60 A2-s1,d0"
2.955975,0,222.002_Gipsskillevæg_145 mm,4533,0.428616375,224,145,44 dB,"EI 60 A2-s1,d0"
68.91645,1,KON_Væg Indervæg_Beton_300 mm,4533,20.674935,221,300,,
20.930665,0,222.001_Gipsskillevæg_145 mm,4533,3.034946425,224,145,48 dB,"EI 60 A2-s1,d0"
28.179725,0,222.001_Gipsskillevæg_145 mm,4533,4.086060125,224,145,48 dB,"EI 60 A2-s1,d0"
24.0598504,0,222.001_Gipsskillevæg_145 mm,4533,3.488678308,224,145,48 dB,"EI 60 A2-s1,d0"
11.2658,0,222.006_Gipsskillevæg_95 mm,4333,1.070251,224,95,32 dB,"EI 60 A2-s1,d0"
11.2658,0,222.006_Gipsskillevæg_95 mm,4333,1.070251,224,95,32 dB,"EI 60 A2-s1,d0"
11.7858,1,KON_Væg Indervæg_Beton_150 mm,4533,1.76787,221,150,,
8.4441,1,KON_Væg Indervæg_Beton_150 mm,4533,1.235094,221,150,,
8.612700001,1,KON_Væg Indervæg_Beton_150 mm,4533,1.291905,221,150,,
8.612700001,1,KON_Væg Indervæg_Beton_150 mm,4533,1.291905,221,150,,
7.5677,0,222.002_Gipsskillevæg_145 mm,4533,1.0973165,224,145,44 dB,"EI 60 A2-s1,d0"
4.680865,0,222.002_Gipsskillevæg_145 mm,4533,0.678725425,224,145,44 dB,"EI 60 A2-s1,d0"
4.963525,0,222.002_Gipsskillevæg_145 mm,4533,0.719711125,224,145,44 dB,"EI 60 A2-s1,d0"
17.7343075,0,222.002_Gipsskillevæg_145 mm,4533,2.571474587,224,145,44 dB,"EI 60 A2-s1,d0"
13.06508,0,222.002_Gipsskillevæg_145 mm,4533,1.8944366,224,145,44 dB,"EI 60 A2-s1,d0"
67.88106496,1,KON_Væg Indervæg_Beton_300 mm,4533,20.36431949,221,300,,
15.752765,1,KON_Væg Indervæg_Beton_300 mm,3983,4.7258295,221,300,,
53.87105907,1,KON_Væg Indervæg_Beton_250 mm,4533,13.46776477,221,250,,
25.68898004,1,KON_Væg Indervæg_Beton_250 mm,4533,6.422245011,221,250,,
58.29438,1,KON_Væg Indervæg_Beton_300 mm,4533,17.488314,221,300,,
51.40523,1,KON_Væg Indervæg_Beton_250 mm,4533,12.75674439,221,250,,
1.133249958,1,KON_Væg Indervæg_Beton_350 mm,4533,0.396637485,221,350,,
8.612700001,1,KON_Væg Indervæg_Beton_400 mm,4533,3.44508,221,400,,
24.9315,1,KON_Væg Indervæg_Beton_400 mm,4533,9.9726,221,400,,
28.24059,1,KON_Væg Indervæg_Beton_300 mm,4533,8.472177,221,300,,
26.11959,1,KON_Væg Indervæg_Beton_300 mm,4533,7.835877,221,300,,
25.29205,0,222.001_Gipsskillevæg_145 mm,4533,3.508425533,224,145,48 dB,"EI 60 A2-s1,d0"
15.2928,0,222.002_Gipsskillevæg_145 mm,2860,2.217456,224,145,44 dB,"EI 60 A2-s1,d0"
20.80350002,0,222.300_Glassystemvæg_20 mm,2300,0.41607,226,20,,
1.08,0,222.001_Gipsskillevæg_145 mm,2700,0.1566,224,145,48 dB,"EI 60 A2-s1,d0"
2.209000024,0,222.300_Glassystemvæg_20 mm,2500,0.04418,226,20,,
2.475,0,222.300_Glassystemvæg_20 mm,2500,0.0495,226,20,,
11.19223,0,222.001_Gipsskillevæg_145 mm,4533,1.46395165,224,145,48 dB,"EI 60 A2-s1,d0"
4.58045,0,222.505_Skillevæg Kalksandsten_150 mm,4533,0.6870675,222,150,49 dB,"EI 60 A2-s1,d0"
28.82365,1,KON_Væg Indervæg_Beton_200 mm,4528,5.76473,221,200,,
13.721435,0,222.001_Gipsskillevæg_145 mm,4533,1.989608075,224,145,48 dB,"EI 60 A2-s1,d0"
11.371465,0,222.002_Gipsskillevæg_145 mm,4533,1.648862425,224,145,44 dB,"EI 60 A2-s1,d0"
16.350215,1,KON_Væg Indervæg_Beton_200 mm,4533,3.270043,221,200,,
11.1524,0,222.110_Forsatsvæg_135 mm,4533,1.477693,224,132.5,36 dB,"EI 60 A2-s1,d0"
10.189261,0,222.002_Gipsskillevæg_145 mm,4533,1.477442845,224,145,44 dB,"EI 60 A2-s1,d0"
10.189261,0,222.002_Gipsskillevæg_145 mm,4533,1.477442845,224,145,44 dB,"EI 60 A2-s1,d0"
10.189261,0,222.002_Gipsskillevæg_145 mm,4533,1.477442845,224,145,44 dB,"EI 60 A2-s1,d0"
64.13047537,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4383,33.68864255,211,540,,
51.47467537,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4383,26.14756277,211,540,,
13.1439,0,222.110_Forsatsvæg_135 mm,4533,1.74156675,224,132.5,36 dB,"EI 60 A2-s1,d0"
12.566365,0,222.001_Gipsskillevæg_145 mm,4533,1.822122925,224,145,48 dB,"EI 60 A2-s1,d0"
12.566365,0,222.001_Gipsskillevæg_145 mm,4533,1.822122925,224,145,48 dB,"EI 60 A2-s1,d0"
19.07857,1,KON_Væg Indervæg_Beton_200 mm,4533,3.815714,221,200,,
9.9575,0,222.002_Gipsskillevæg_145 mm,4533,1.4438375,224,145,44 dB,"EI 60 A2-s1,d0"
18.62775,1,KON_Væg Indervæg_Beton_200 mm,4383,3.72555,221,200,,
7.7061,1,KON_Væg Indervæg_Beton_200 mm,4533,1.54122,221,200,,
5.9706,1,KON_Væg Indervæg_Beton_200 mm,3983,1.162599,221,200,,
130.3445351,0,KON_Gitterkonstruktion_200 mm,4383,26.06890703,11,200,,
131.713533,0,KON_Gitterkonstruktion_200 mm,4383,26.34270659,11,200,,
160.9300753,0,KON_Gitterkonstruktion_200 mm,4383,32.10360556,11,200,,
136.20333,1,KON_Ydervæg Sandwichelementvæg_540 mm_70-275-195,4533,73.05455339,211,540,,
